Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Age Group,Total curricular grade,Full-time/Part-time
1,17,5,171,1,1,122.0,1,19,12,5,9,0.026339680832973278,1,0,0,1,1,0,20,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1,18-25,-4.16457589394826,0
1,15,1,9254,1,1,160.0,1,1,3,3,3,1.0979115919090314,1,0,0,0,1,0,19,0,0,6,6,6,0.696123064200538,0,0,6,6,6,0.6617120624977382,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0,18-25,1.3578351266982762,1
1,1,5,9070,1,1,122.0,1,37,37,9,9,-0.14990569927822048,1,0,0,0,1,0,19,0,0,6,0,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1,18-25,-4.16457589394826,1
1,17,2,9773,1,1,122.0,1,38,37,5,3,-0.5164960899095037,1,0,0,1,0,0,20,0,0,6,8,6,0.5779374720195137,0,0,6,10,5,0.4182466174635073,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0,18-25,0.996184089483021,1
2,39,1,8014,0,1,100.0,1,37,38,9,9,1.027413439864554,0,0,0,1,0,0,45,0,0,6,9,5,0.3514150870058838,0,0,6,6,6,0.5335723545849851,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0,36-45,0.884987441590869,1
2,39,1,9991,0,19,133.1,1,37,37,9,7,-0.8548872197229955,0,0,1,1,1,0,50,0,0,5,10,5,0.25292709352169684,0,0,5,17,5,0.24525801178129036,5,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0,45+,0.4981851053029872,1
1,1,1,9500,1,1,142.0,1,19,38,7,10,0.10388764808189914,1,0,0,1,0,1,18,0,0,7,9,7,0.5513457137787834,0,0,8,8,8,0.7920942152989647,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0,<18,1.3434399290777481,1
1,18,4,9254,1,1,119.0,1,37,37,9,9,-0.9747340781986075,1,0,0,0,1,0,22,0,0,5,5,0,-2.1994239442345584,0,0,5,5,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,1,18-25,-4.16457589394826,1
1,1,3,9238,1,1,137.0,62,1,1,9,9,0.16733598492192928,0,0,0,1,0,1,21,1,0,6,8,6,0.6702699659109389,0,0,6,7,6,0.7532404252925619,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0,18-25,1.4235103912035008,1
1,1,1,9238,1,1,138.0,1,1,19,4,7,-0.27680237295827975,1,0,1,0,0,0,18,0,0,6,9,5,0.1583786197768773,0,0,6,14,2,0.62967713551955,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,1,<18,0.7880557552964272,1
1,1,1,9670,1,1,139.0,1,38,19,5,7,0.25898358257974885,1,0,0,1,0,0,18,0,0,6,6,6,0.3514150870058838,0,0,6,7,5,0.7642238288279407,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0,<18,1.1156389158338245,1
1,1,1,9500,1,1,136.0,1,19,38,9,9,-0.5376455355228468,1,0,0,1,0,1,18,0,0,8,8,7,0.5336178749516294,0,0,8,8,7,0.5747601178426556,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0,<18,1.108377992794285,1
1,1,2,9853,1,1,133.0,1,19,37,4,9,0.23078432176195743,1,0,0,1,0,0,19,0,0,6,6,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1,18-25,-4.16457589394826,1
1,53,1,9254,1,42,110.0,1,1,1,4,7,-1.066381675856428,1,0,0,1,0,1,21,0,0,6,7,6,-0.01299048888560811,0,0,6,8,5,0.14915323084672547,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0,18-25,0.13616274196111736,1
1,1,1,9085,1,1,149.0,1,38,37,5,5,0.7172215708688526,1,0,0,1,0,1,18,0,0,5,7,4,0.5410044744629435,0,0,5,5,5,0.3413627927158553,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0,<18,0.8823672671787988,1
1,1,1,9773,1,1,127.0,1,19,37,9,3,-0.4389481226605778,1,0,0,1,0,0,20,0,0,6,6,5,0.5306632351471038,0,0,6,7,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,1,18-25,-1.4344887145665983,1
1,18,1,9238,1,1,137.0,1,19,38,5,8,0.7383710164821966,1,0,0,1,0,0,18,0,0,6,10,1,0.28247349156695284,0,0,6,14,2,0.14915323084672547,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2,<18,0.4316267224136783,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,0.026339680832973278,1,0,0,1,0,0,18,0,0,7,8,7,0.5526383686932632,0,0,8,8,8,0.8305361276727906,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0,<18,1.383174496366054,1
1,1,1,9130,1,1,137.0,1,3,19,3,5,0.6608230492332718,1,0,0,1,0,0,20,0,0,5,8,4,0.3858858847253491,1,0,5,8,4,0.3894151831831377,2,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0,18-25,0.7753010679084869,1
1,1,1,9853,1,1,140.0,1,19,19,7,7,-0.16400532968711617,1,0,0,1,0,0,18,0,0,7,7,6,0.21353189612802181,0,0,7,8,6,0.62967713551955,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2,<18,0.8432090316475718,1
1,1,3,171,1,1,122.0,1,1,1,9,8,-0.4671473834783692,0,0,0,1,0,1,21,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,0,18-25,-4.16457589394826,0
1,18,4,9556,1,1,127.0,1,1,38,4,7,-0.361400155411653,1,0,0,1,0,0,20,0,0,7,14,7,0.16613454926375698,0,0,8,9,8,0.23084229464110578,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2,18-25,0.39697684390486276,1
1,1,4,9500,1,1,142.0,1,19,19,1,1,-0.10055699284708602,1,0,0,1,0,0,18,0,0,8,12,7,0.4597518798384894,0,0,8,12,7,0.5061138457465381,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0,<18,0.9658657255850275,1
